corpus	ID	Agent marking	Agent_animacy	Agent_wordcount	Patien_animacy	Affectdness	Verb		
mix	172	oleh	0	2	0	1	terpengaruh		
mix	585	oleh	0	4	0	1	terpengaruh		
mix	6888	oleh	0	10	1	1	terpengaruh		
mix	11857	oleh	0	1	1	1	terpengaruh		
mix	12605	oleh	0	6	1	1	terpengaruh		
mix	42029	zero	0	6	0	1	terpengaruh		
mix	51078	zero	1	1	1	1	terpengaruh		
mix	58343	oleh	0	2	0	1	terpengaruh		
mix	64655	oleh	0	2	0	1	terpengaruh		
mix	65437	oleh	0	4	1	1	terpengaruh		
mix	74746	oleh	0	2	1	1	terpengaruh		
mix	77364	oleh	0	2	0	1	terpengaruh		
mix	77746	oleh	0	1	1	1	terpengaruh		
mix	77876	zero	0	0	0	1	terpengaruh		
mix	87222	oleh	0	1	0	1	terpengaruh		
mix	93235	zero	0	1	0	1	terpengaruh		
mix	102319	zero	0	3	0	1	terpengaruh		
mix	103169	zero	0	6	1	1	terpengaruh		
mix	110121	zero	0	2	1	1	terpengaruh		
mix	111054	oleh	0	2	0	1	terpengaruh		
mix	128906	oleh	0	3	0	1	terpengaruh		
mix	130168	oleh	0	2	0	1	terpengaruh		
mix	137779	zero	0	1	1	1	terpengaruh		
mix	146033	zero	0	6	1	1	terpengaruh		
mix	157787	zero	0	2	1	1	terpengaruh		
mix	162395	oleh	0	1	0	1	terpengaruh		
mix	162899	oleh	0	2	1	1	terpengaruh		
mix	172676	zero	0	4	0	1	terpengaruh		
mix	174358	oleh	0	6	1	1	terpengaruh		
mix	175703	oleh	0	2	1	1	terpengaruh		
mix	178344	zero	0	2	1	1	terpengaruh		
mix	184804	oleh	0	3	1	1	terpengaruh		
mix	191180	zero	0	2	1	1	terpengaruh		
mix	198293	zero	0	4	1	1	terpengaruh		
mix	198741	zero	0	8	0	1	terpengaruh		
mix	217966	oleh	0	3	0	1	terpengaruh		
mix	227205	zero	1	3	0	1	terpengaruh		
mix	231682	oleh	0	4	0	1	terpengaruh		
mix	235438	zero	0	8	1	1	terpengaruh		
mix	236861	zero	0	3	0	1	terpengaruh		
mix	244578	zero	0	6	0	1	terpengaruh		
mix	248188	zero	0	2	0	1	terpengaruh		
mix	248616	zero	0	5	0	1	terpengaruh		
mix	252588	zero	0	1	0	1	terpengaruh		
mix	264751	oleh	0	9	0	1	terpengaruh		
mix	281178	oleh	0	2	0	1	terpengaruh		
mix	285255	oleh	0	8	1	1	terpengaruh		
mix	289339	oleh	0	3	1	1	terpengaruh		
mix	289420	oleh	0	14	0	1	terpengaruh		
mix	291553	oleh	0	1	1	1	terpengaruh		
mix	292306	oleh	0	2	1	1	terpengaruh		
web	3325	zero	0	3	0	1	terpengaruh		
web	9062	oleh	0	8	0	1	terpengaruh		
web	24460	oleh	0	1	0	1	terpengaruh		
web	27918	zero	0	4	1	1	terpengaruh		
